Arabic Sentence,English Translation
إنه شاب لطيف وأنيق ومهذب,"He's a nice, neat, polite guy."
بعض النساء يعتقدن أن في الاعتذار تقليلا من كرامتهن,Some women think that apologizing is underestimating their dignity.
هذا التدهور الاقتصادي لم يحصل منذ زمن,This economic downturn hasn't happened in a long time.
لا يمكن أن نتخلص من تلك اللعنة الأبدية التي تفصل الأخلاق عن السياسة;,We can't get rid of that eternal curse that separates ethics from politics;
لابد من الوقف الفوري لإطلاق النار;,An immediate ceasefire must be put in place;
ما زالت الدولة تقدم الخدمات العامة مجانا (الصحة، التعليم) وتدعم أسعار العديد من السلع;,"The State continues to provide public services free of charge (health, education) and supports the prices of many goods;"
يستخدم الكلب في مرافقة فاقدي السمع والبصر وذوي الاحتياجات الخاصة,The dog is used in escorts for hearing and sightless people with special needs.
وصل صوت الموسيقى إلى دميان فى البيت، فجاء مسرعا إلى المحطة ليروعه المشهد الجميل للجنود السعداء;العازفين,"The sound of music reached two dummies at home, so he rushed to the station to be terrified by the beautiful scene of the happy soldiers, the players."
شكرا لكم لأنكم نشرتم اسمي في المجلة، وقد فرحت كثيرا عندما رأيت اسمي,"Thank you for posting my name in the magazine, and I was so happy to see my name."
أبو صابر يحتاج إلى من يعيله ويخدمه، ناهيك عن تحمل تكاليف العلاج الباهظة التي لا بد منها,"Abu Saber needs to be supported and served, not to mention the high costs of treatment that must be paid for."
حسين فوزي صديق توفيق الحكيم الدائم وأحد الأدباء والمفكرين الرواد منذ الربع الأول من القرن العشرين,"Hussein Fawzi Siddiq Tawfiq Al-Hakim Al-Hafiq Al-Ahma, a writer and pioneer intellectuals since the first quarter of the 20th century"
إن وقعت في ضيق لن تجد من يعينك,"If you get in trouble, you won't find anyone to help you."
تعود الأسباب الرئيسية للعنف إلى ميليشيات مدعومة من الخارج وخصوصا من إيران وسوريا,"The main causes of the violence were militias supported from abroad, particularly from Iran and Syria"
الطوائف المذهبية والخصوصيات العرقية لا تقدم الولاء للوطن على الولاء للمذهب أو الخصوصية,Religious denominations and ethnic specificities do not offer loyalty to the nation over loyalty to the faith or privacy.
اللواء علاء مقلد مدير عام النادي أكد أن أهم ما يميز الفريق الروح الجماعية بين اللاعبين والحرص على مصلحة النادي,"General Ala, the director-general of the club, has confirmed that the most important thing that the team has is the collective spirit between the players and the interest of the club."
أما في المدرسة الابتدائية فيبدأ حجم النص يزداد تدريجيا في الصفحات على حساب الصور بحسب تقدم سن الطفل,"In primary school, the text starts to grow gradually on the pages at the expense of images, depending on the child &apos; s age."
فكر فى شىء يقوله يخفف من حدة دميان وانفعاله,Think of something he's saying that would ease his puppets and his temper.
ان كل جيل جديد من طبيعته التمرد على القديم، وتأسيس حساسية جديدة ولغة مختلفة وكتابة مغايرة,"Every new generation is a rebellion over the old, a new allergy, a different language, a different writing."
التلوث الهوائي يعتبر من أكثر أشكال التلوث البيئي انتشارا,Air pollution is one of the most prevalent forms of environmental pollution
مع الخميس الأول لزيارة أبى وجدت الشارع أكثر نظافة، ولا يوجد أثر للتراب;,"With the first Thursday to visit my father, I found the street cleaner, and there's no sign of dirt;"
الإيمان المسيحي مبني على سر الفداء أي صلب السيد المسيح وقيامته من الموت,"Christian faith is based on the secret of redemption, that is, the solidness of Christ and his resurrection from death."
أنا مولود في مصر، وابني متزوج من ثلاث زوجات,"I'm born in Egypt, and my son is married to three wives."
